snapped_at,price,market_cap,total_volume
2014-07-26 00:00:00 UTC,631.9244,8256471441,12178681.69
2014-07-27 00:00:00 UTC,628.127,8209243014,9894781.972
2014-07-28 00:00:00 UTC,622.3017,8135365682,24580263.84
2014-07-29 00:00:00 UTC,619.791,8104944928,12562133.92
2014-07-30 00:00:00 UTC,600.9195,7860703094,19714439.69
2014-07-31 00:00:00 UTC,627.341812,8208673508,25012785.89
2014-08-01 00:00:00 UTC,637.7236148,8347100621,24620391.97
2014-08-02 00:00:00 UTC,631.6662192,8270390017,9944392.927
2014-08-03 00:00:00 UTC,629.1099859,8239327664,9861913.889
2014-08-04 00:00:00 UTC,628.3381504,8231261187,12136642.43
2014-08-05 00:00:00 UTC,625.9391148,8201993191,14021688.55
2014-08-06 00:00:00 UTC,623.9921,8178960851,13660190.41
2014-08-07 00:00:00 UTC,633.5464109,8306759605,12885207.83
2014-08-08 00:00:00 UTC,637.0092507,8354615201,13235473.42
